event_timestamp,OPT,ticker,option_exp,strike,option_right,bid_price,bid_size,ask_price,ask_size,time
2026-03-24 18:14:27.414432,,SPY,20260324,653,C,1.55,421,1.57,110,03/24/2026 14:14:27
2026-03-24 18:14:27.414484,,SPY,20260324,653,C,1.55,421,1.57,110,03/24/2026 14:14:27
2026-03-24 18:14:27.414522,,SPY,20260324,653,C,1.55,421,1.57,110,03/24/2026 14:14:27
2026-03-24 18:14:27.610226,,SPY,20260324,653,C,1.55,421,1.58,722,03/24/2026 14:14:27
2026-03-24 18:14:27.610282,,SPY,20260324,653,C,1.55,869,1.58,722,03/24/2026 14:14:27
2026-03-24 18:14:27.610336,,SPY,20260324,653,C,1.55,869,1.58,722,03/24/2026 14:14:27
2026-03-24 18:14:27.686541,,SPY,20260324,653,C,1.55,869,1.57,90,03/24/2026 14:14:27
2026-03-24 18:14:27.686578,,SPY,20260324,653,C,1.55,883,1.57,90,03/24/2026 14:14:27
2026-03-24 18:14:27.686589,,SPY,20260324,653,C,1.55,883,1.57,90,03/24/2026 14:14:27
2026-03-24 18:14:27.762166,,SPY,20260324,653,C,1.54,544,1.57,90,03/24/2026 14:14:27
2026-03-24 18:14:27.762197,,SPY,20260324,653,C,1.54,544,1.56,228,03/24/2026 14:14:27
2026-03-24 18:14:27.762222,,SPY,20260324,653,C,1.54,544,1.56,228,03/24/2026 14:14:27
2026-03-24 18:14:27.762248,,SPY,20260324,653,C,1.54,544,1.56,228,03/24/2026 14:14:27
2026-03-24 18:14:27.950669,,SPY,20260324,653,C,1.54,544,1.55,171,03/24/2026 14:14:27
2026-03-24 18:14:27.950696,,SPY,20260324,653,C,1.54,6,1.55,171,03/24/2026 14:14:27
2026-03-24 18:14:27.950721,,SPY,20260324,653,C,1.54,6,1.55,171,03/24/2026 14:14:27
2026-03-24 18:14:28.058792,,SPY,20260324,653,C,1.54,6,1.56,739,03/24/2026 14:14:28
2026-03-24 18:14:28.058815,,SPY,20260324,653,C,1.54,14,1.56,739,03/24/2026 14:14:28
2026-03-24 18:14:28.058840,,SPY,20260324,653,C,1.54,14,1.56,739,03/24/2026 14:14:28
2026-03-24 18:14:28.393115,,SPY,20260324,653,C,1.54,14,1.55,78,03/24/2026 14:14:28
2026-03-24 18:14:28.393123,,SPY,20260324,653,C,1.54,94,1.55,78,03/24/2026 14:14:28
2026-03-24 18:14:28.393131,,SPY,20260324,653,C,1.54,94,1.55,78,03/24/2026 14:14:28
2026-03-24 18:14:28.526152,,SPY,20260324,653,C,1.52,729,1.55,78,03/24/2026 14:14:28
2026-03-24 18:14:28.526160,,SPY,20260324,653,C,1.52,729,1.54,166,03/24/2026 14:14:28
2026-03-24 18:14:28.526167,,SPY,20260324,653,C,1.52,729,1.54,166,03/24/2026 14:14:28
2026-03-24 18:14:28.526174,,SPY,20260324,653,C,1.52,729,1.54,166,03/24/2026 14:14:28
2026-03-24 18:14:28.666686,,SPY,20260324,653,C,1.53,232,1.54,166,03/24/2026 14:14:28
2026-03-24 18:14:28.666722,,SPY,20260324,653,C,1.53,232,1.55,490,03/24/2026 14:14:28
2026-03-24 18:14:28.666752,,SPY,20260324,653,C,1.53,232,1.55,490,03/24/2026 14:14:28
2026-03-24 18:14:28.666779,,SPY,20260324,653,C,1.53,232,1.55,490,03/24/2026 14:14:28
2026-03-24 18:14:28.748021,,SPY,20260324,653,C,1.54,76,1.55,490,03/24/2026 14:14:28
